"timestamp","device_id","CPU_T","CPU_Usage","RAM_Total","RAM_Used","RAM_Free","DISK_Total","DISK_Used_Space","DISK_Used_Perc"
"13/1/2025 19:58:14.1","UTA-IOB-Air-Gregory","23.6","66.6","944.1","231.7","398.8","28","6.3","24"
"13/1/2025 19:48:08","UTA-IOB-Air-Gregory","22","66.6","944.1","165.2","533.6","28","6.3","24"
"13/1/2025 19:39:58.1","UTA-IOB-Air-Gregory","23.6","66.6","944.1","230.2","402.1","28","6.3","24"
"13/1/2025 19:39:51","UTA-IOB-Air-Gregory","21.4","66.6","944.1","164.2","534.8","28","6.3","24"
"13/1/2025 19:37:36","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 19:32:35.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 19:27:35.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 19:22:35","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 19:17:35","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 19:12:35","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 19:07:34.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 19:02:34.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 18:57:34","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 18:52:33.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 18:47:33.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 18:42:33","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 18:37:32.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 18:32:32.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 18:27:32","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 18:22:32","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 18:17:31.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 18:12:31","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 18:07:30.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 18:02:30.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 17:57:30","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 17:52:30","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 17:47:29.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 17:42:29","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 17:37:29","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 17:32:28.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 17:27:28","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 17:22:28","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 17:17:27.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 17:12:27.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 17:07:27","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 17:02:27","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 16:57:26.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 16:52:26","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 16:47:26","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 16:42:25.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 16:37:25","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 16:32:25","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 16:27:25","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 16:22:24.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 16:17:24","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 16:12:24","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 16:07:23.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 16:02:23","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 15:57:23","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
"13/1/2025 15:52:22.1","UTA-IOB-Air-Gregory","24.6","66.6","944.1","272.8","189.4","28","6.3","24"
