"ID","timestamp","Cond","Depth","nLF","ODO_sat","ODO_CB","ODO","Pressure","Sal","SpCond","TDS","Turbidity","TSS","Wiper_Position","Temp","Vertical_Position","Battery","Cable_Pwr","payload","device_id","IP"
"133593","3/1/2025 01:43:38","0.008586525917053223","-0.17317453026771545","0.010400558821856976","97.31068420410156","96.56462860107422","9.5618896484375","-0.24532806873321533","0.003454208606854081","0.010308075696229935","0.006677348632365465","29.625","0.00000000000000000000000000000000000000008549462060692141","0.9229944348335266","61.5935173034668",,,,"CF5D3C0CAE803C2A671B42C29F1242C121174118FD80BE7B37483B6260013C28E3343BDACDA941ED00000000EE533F6C495D42765FC3BE3154AABE2EFFFF7FFF00000000000000000000000000000000","YSI_02","12.76.44.186"
"133592","3/1/2025 01:42:38","0.008617795072495937","-0.1724558025598526","0.010460426099598408","97.30115509033203","96.52349090576172","9.52545166015625","-0.2452206015586853","0.0034772497601807117","0.010287509299814701","0.0066938092932105064","29.75","0.00000000000000000000000000000000000000008549462060692141","0.9236800670623779","61.74110412597656",,,,"50C23C0D31A73C2B623542C29A3142C10C0741186840BE7B1B1C3B63E2923C288CF13BDB57BE41EE00000000EE533F6C764C4276F6E4BE309841BE2DFFFF7FFF00000000000000000000000000000000","YSI_02","12.76.44.186"
"133591","3/1/2025 01:39:38","0.008681108243763447","-0.173590287566185","0.010520112700760365","97.29015350341797","96.8948745727539","9.46807861328125","-0.24696680903434753","0.0034930796828120947","0.01036982424557209","0.006739528849720955","29.75","0.00000000000000000000000000000000000000008592622053393346","0.9257493615150452","61.682064056396484",,,,"6C0A3C0E3B353C2C5C8D42C2948F42C1CA2D41177D40BE7CE4DE3B64EC273C29E6323BDCD74441EE00000000EF873F6CFDE94276BA6FBE31C1A7BE31FFFF7FFF00000000000000000000000000000000","YSI_02","12.76.44.186"
"133590","3/1/2025 01:38:38","0.00869930163025856","-0.1723577231168747","0.010519609786570072","97.28604888916016","96.85172271728516","9.46319580078125","-0.24551406502723694","0.003497637342661619","0.010393524542450905","0.006756531074643135","29.875","0.00000000000000000000000000000000000000008420402472127826","0.9225108623504639","61.992515563964844",,,,"BFF13C0E87843C2C5A7142C2927542C1B41541176940BE7B680A3B65389E3C2A499A3BDD65E441EF00000000EABA3F6C29AC4277F856BE307E8BBE39FFFF7FFF00000000000000000000000000000000","YSI_02","12.76.44.186"
"133589","3/1/2025 01:37:38","0.00878570880740881","-0.17322787642478943","0.010520881973206997","97.29643249511719","96.82108306884766","9.49212646484375","-0.2452411949634552","0.0035192242357879877","0.010426430031657219","0.006770995911210775","29.875","0.0000000000000000000000000000000000000000850644219783737","0.9231767058372498","61.82415008544922",,,,"2CAD3C0FF1EF3C2C5FC742C297C642C1A4654117DFC0BE7B20823B66A2C93C2AD39E3BDDDF3B41EF00000000ED203F6C554F42774BEEBE3162A6BE30FFFF7FFF00000000000000000000000000000000","YSI_02","12.76.44.186"
"133588","3/1/2025 01:36:38","0.008779353462159634","-0.17287540435791016","0.010580376721918583","97.28385925292969","96.77190399169922","9.4884033203125","-0.24579757452011108","0.003532783593982458","0.010496938601136208","0.006798521149903536","29.875","0.00000000000000000000000000000000000000008592622053393346","0.9238530397415161","61.813846588134766",,,,"FFCB3C0FD7473C2D595142C2915642C18B374117D080BE7BB25C3B6786463C2BFB5A3BDEC62141EF00000000EF873F6C81A242774161BE310640BE31FFFF7FFF00000000000000000000000000000000","YSI_02","12.76.44.186"
"133587","3/1/2025 01:35:38","0.008822515606880188","-0.17367123067378998","0.010644003748893738","97.30500793457031","96.75030517578125","9.45166015625","-0.24700510501861572","0.003543504048138857","0.010552684776484966","0.006814206019043922","30","0.00000000000000000000000000000000000000008549462060692141","0.9245392680168152","61.88655090332031",,,,"AB533C108C503C2E643042C29C2A42C1802841173A00BE7CEEE83B683A223C2CE52B3BDF49B441F000000000EE533F6CAE9B42778BD4BE31D6DFBE33FFFF7FFF00000000000000000000000000000000","YSI_02","12.76.44.186"
"133586","3/1/2025 01:34:38","0.008870724588632584","-0.17290237545967102","0.010702508501708508","97.28436279296875","96.69658660888672","9.4520263671875","-0.24640312790870667","0.0035707273054867983","0.010614900849759579","0.006848304066807032","30","0.00000000000000000000000000000000000000008549462060692141","0.9252167344093323","61.88776397705078",,,,"684A3C1156843C2F599342C2919842C164A741173B80BE7C511A3B6A02DD3C2DEA1F3BE067BD41F000000000EE533F6CDB0142778D12BE310D52BE25FFFF7FFF00000000000000000000000000000000","YSI_02","12.76.44.186"
"133585","3/1/2025 01:33:38","0.008892932906746864","-0.17446660995483398","0.010703359730541706","97.29130554199219","96.66275787353516","9.46136474609375","-0.24799460172653198","0.003576279152184725","0.01058273483067751","0.006875399500131607","30","0.00000000000000000000000000000000000000008549462060692141","0.9219875335693359","62.09021759033203",,,,"CB023C11B3AA3C2F5D2542C2952642C15355411761C0BE7DF24C3B6A60023C2D63353BE14B0841F000000000EE533F6C076042785C62BE32A760BE37FFFF7FFF00000000000000000000000000000000","YSI_02","12.76.44.186"
"133584","3/1/2025 01:32:38","0.008918521925807","-0.17467212677001953","0.0107622304931283","97.27365112304688","96.61029052734375","9.48126220703125","-0.2477293610572815","0.003597922157496214","0.010615932755172253","0.0068913293071091175","30","0.00000000000000000000000000000000000000008549462060692141","0.9226475954055786","62.146419525146484",,,,"38FE3C121EFE3C30541142C28C1C42C138784117B340BE7DACC43B6BCB1E3C2DEE733BE1D0A941F000000000EE533F6C32A2427895EFBE32DD40BE30FFFF7FFF00000000000000000000000000000000","YSI_02","12.76.44.186"
