SiteName,Humidity,Temperature,Noise,PM2_5,PM10,ReceivedTime,ReportedTime-UTC
G-TH,48.4,13.0,0,1,1,"1/13/2025, 12:09:42",2025-01-13T18:09:42.337Z
G-TH,49.0,12.9,0,1,1,"1/13/2025, 12:09:12",2025-01-13T18:09:12.321Z
G-TH,50.3,12.8,0,1,1,"1/13/2025, 12:08:42",2025-01-13T18:08:42.315Z
G-TH,50.5,12.7,0,1,1,"1/13/2025, 12:08:12",2025-01-13T18:08:12.312Z
H-TH,46.1,14.1,0,3,3,"1/13/2025, 12:08:00",2025-01-13T18:08:00.107Z
G-TH,51.2,12.4,0,0,0,"1/13/2025, 12:07:42",2025-01-13T18:07:42.314Z
H-TH,46.4,14.5,0,0,1,"1/13/2025, 12:07:20",2025-01-13T18:07:20.055Z
G-TH,50.8,12.6,0,1,1,"1/13/2025, 12:07:12",2025-01-13T18:07:12.349Z
G-TH,0.0,0.0,0,4,4,"1/13/2025, 12:06:42",2025-01-13T18:06:42.349Z
H-TH,47.2,14.2,0,2,2,"1/13/2025, 12:06:40",2025-01-13T18:06:40.084Z
H-TH,46.6,13.7,0,1,1,"1/13/2025, 12:06:00",2025-01-13T18:06:00.038Z
H-TH,46.4,14.0,0,2,2,"1/13/2025, 12:05:20",2025-01-13T18:05:20.043Z
H-TH,46.9,14.1,0,3,3,"1/13/2025, 12:04:40",2025-01-13T18:04:40.031Z
H-TH,47.1,14.1,0,2,3,"1/13/2025, 12:04:00",2025-01-13T18:04:00.072Z
G-TH,49.5,12.4,0,1,1,"1/13/2025, 12:01:12",2025-01-13T18:01:12.196Z
G-TH,49.9,12.5,0,1,1,"1/13/2025, 12:00:42",2025-01-13T18:00:42.199Z
G-TH,49.6,12.4,0,1,1,"1/13/2025, 12:00:12",2025-01-13T18:00:12.199Z
G-TH,50.7,12.5,0,1,1,"1/13/2025, 11:59:42",2025-01-13T17:59:42.185Z
G-TH,50.9,12.4,0,1,1,"1/13/2025, 11:59:13",2025-01-13T17:59:12.172Z
G-TH,51.3,12.2,0,0,1,"1/13/2025, 11:58:42",2025-01-13T17:58:42.156Z
G-TH,51.6,12.2,0,0,1,"1/13/2025, 11:58:12",2025-01-13T17:58:12.140Z
G-TH,53.2,12.0,0,1,2,"1/13/2025, 11:57:43",2025-01-13T17:57:42.142Z
G-TH,53.3,11.8,0,1,2,"1/13/2025, 11:57:12",2025-01-13T17:57:12.119Z
G-TH,52.6,11.5,0,2,2,"1/13/2025, 11:56:42",2025-01-13T17:56:42.147Z
H-TH,48.0,13.7,0,1,1,"1/13/2025, 11:53:20",2025-01-13T17:53:19.952Z
H-TH,48.0,13.9,0,2,4,"1/13/2025, 11:52:40",2025-01-13T17:52:39.959Z
H-TH,47.7,13.8,0,1,1,"1/13/2025, 11:52:00",2025-01-13T17:51:59.928Z
H-TH,48.1,13.7,0,2,3,"1/13/2025, 11:51:20",2025-01-13T17:51:19.935Z
G-TH,50.8,12.3,0,0,1,"1/13/2025, 11:51:12",2025-01-13T17:51:11.987Z
G-TH,51.3,12.3,0,0,1,"1/13/2025, 11:50:42",2025-01-13T17:50:41.969Z
H-TH,47.3,13.9,0,1,2,"1/13/2025, 11:50:40",2025-01-13T17:50:39.926Z
G-TH,51.9,12.0,0,0,2,"1/13/2025, 11:50:12",2025-01-13T17:50:11.959Z
H-TH,47.4,13.9,0,0,0,"1/13/2025, 11:50:00",2025-01-13T17:49:59.919Z
G-TH,51.7,11.9,0,0,2,"1/13/2025, 11:49:42",2025-01-13T17:49:41.945Z
H-TH,47.8,13.8,0,1,2,"1/13/2025, 11:49:20",2025-01-13T17:49:19.912Z
G-TH,51.2,12.0,0,0,1,"1/13/2025, 11:49:12",2025-01-13T17:49:11.928Z
G-TH,50.1,12.1,0,0,0,"1/13/2025, 11:48:42",2025-01-13T17:48:41.916Z
G-TH,50.9,12.3,0,0,0,"1/13/2025, 11:48:12",2025-01-13T17:48:11.913Z
G-TH,50.8,12.0,0,0,0,"1/13/2025, 11:47:42",2025-01-13T17:47:41.904Z
G-TH,50.9,11.9,0,1,1,"1/13/2025, 11:47:12",2025-01-13T17:47:11.905Z
G-TH,51.2,12.0,0,7,8,"1/13/2025, 11:46:42",2025-01-13T17:46:41.901Z
G-TH,52.3,11.7,0,1,1,"1/13/2025, 11:41:12",2025-01-13T17:41:11.822Z
G-TH,51.2,11.6,0,0,1,"1/13/2025, 11:40:42",2025-01-13T17:40:41.783Z
G-TH,53.2,11.9,0,1,1,"1/13/2025, 11:40:12",2025-01-13T17:40:11.822Z
G-TH,52.6,11.5,0,1,1,"1/13/2025, 11:39:42",2025-01-13T17:39:41.830Z
G-TH,53.7,11.5,0,1,1,"1/13/2025, 11:39:12",2025-01-13T17:39:11.793Z
G-TH,52.7,11.2,0,1,1,"1/13/2025, 11:38:42",2025-01-13T17:38:41.761Z
H-TH,47.3,13.6,0,1,2,"1/13/2025, 11:38:40",2025-01-13T17:38:39.831Z
G-TH,52.1,11.5,0,1,1,"1/13/2025, 11:38:12",2025-01-13T17:38:11.746Z
H-TH,47.8,13.3,0,0,0,"1/13/2025, 11:38:00",2025-01-13T17:37:59.829Z
G-TH,52.6,12.0,0,1,1,"1/13/2025, 11:37:43",2025-01-13T17:37:41.777Z
H-TH,47.9,13.0,0,1,1,"1/13/2025, 11:37:20",2025-01-13T17:37:19.837Z
G-TH,52.6,12.0,0,1,1,"1/13/2025, 11:37:12",2025-01-13T17:37:11.715Z
G-TH,52.2,11.9,0,1,1,"1/13/2025, 11:36:42",2025-01-13T17:36:41.698Z
H-TH,48.2,12.9,0,2,2,"1/13/2025, 11:36:40",2025-01-13T17:36:39.820Z
H-TH,47.7,12.9,0,1,2,"1/13/2025, 11:36:00",2025-01-13T17:35:59.812Z
H-TH,48.0,13.0,0,1,1,"1/13/2025, 11:35:20",2025-01-13T17:35:19.861Z
H-TH,48.8,12.6,0,1,1,"1/13/2025, 11:34:40",2025-01-13T17:34:39.824Z
H-TH,49.3,12.1,0,2,2,"1/13/2025, 11:34:00",2025-01-13T17:33:59.802Z
G-TH,53.1,10.9,0,0,0,"1/13/2025, 11:31:12",2025-01-13T17:31:11.603Z
G-TH,54.0,11.4,0,1,2,"1/13/2025, 11:30:42",2025-01-13T17:30:41.620Z
G-TH,53.4,11.2,0,0,1,"1/13/2025, 11:30:12",2025-01-13T17:30:11.589Z
G-TH,53.1,11.1,0,0,0,"1/13/2025, 11:29:42",2025-01-13T17:29:41.566Z
G-TH,53.7,11.1,0,0,0,"1/13/2025, 11:29:12",2025-01-13T17:29:11.539Z
G-TH,53.2,11.1,0,0,0,"1/13/2025, 11:28:42",2025-01-13T17:28:41.543Z
G-TH,53.7,11.4,0,0,0,"1/13/2025, 11:28:11",2025-01-13T17:28:11.534Z
G-TH,54.1,11.3,0,0,0,"1/13/2025, 11:27:42",2025-01-13T17:27:41.503Z
G-TH,54.0,11.0,0,0,0,"1/13/2025, 11:27:11",2025-01-13T17:27:11.492Z
G-TH,54.0,11.3,0,0,3,"1/13/2025, 11:26:41",2025-01-13T17:26:41.485Z
H-TH,49.0,12.9,0,1,1,"1/13/2025, 11:23:20",2025-01-13T17:23:19.734Z
H-TH,48.6,12.4,0,1,3,"1/13/2025, 11:22:40",2025-01-13T17:22:39.717Z
H-TH,49.2,12.4,0,1,1,"1/13/2025, 11:22:00",2025-01-13T17:21:59.708Z
G-TH,52.9,10.9,0,0,0,"1/13/2025, 11:21:11",2025-01-13T17:21:11.370Z
G-TH,52.3,11.0,0,1,1,"1/13/2025, 11:20:41",2025-01-13T17:20:41.363Z
G-TH,52.4,11.3,0,1,2,"1/13/2025, 11:20:11",2025-01-13T17:20:11.353Z
G-TH,53.3,11.2,0,0,1,"1/13/2025, 11:19:41",2025-01-13T17:19:41.347Z
G-TH,53.4,10.9,0,0,1,"1/13/2025, 11:19:11",2025-01-13T17:19:11.340Z
G-TH,53.3,10.8,0,0,0,"1/13/2025, 11:18:41",2025-01-13T17:18:41.337Z
G-TH,54.4,11.0,0,0,0,"1/13/2025, 11:18:11",2025-01-13T17:18:11.336Z
G-TH,53.8,10.9,0,0,0,"1/13/2025, 11:17:41",2025-01-13T17:17:41.325Z
G-TH,53.5,10.9,0,0,0,"1/13/2025, 11:17:11",2025-01-13T17:17:11.309Z
G-TH,54.2,11.0,0,2,2,"1/13/2025, 11:16:41",2025-01-13T17:16:41.293Z
G-TH,53.3,10.9,0,1,1,"1/13/2025, 11:11:11",2025-01-13T17:11:11.196Z
G-TH,52.8,11.0,0,1,1,"1/13/2025, 11:10:41",2025-01-13T17:10:41.178Z
G-TH,53.4,11.0,0,0,2,"1/13/2025, 11:10:11",2025-01-13T17:10:11.171Z
G-TH,53.7,10.9,0,0,1,"1/13/2025, 11:09:41",2025-01-13T17:09:41.195Z
G-TH,53.5,10.8,0,0,1,"1/13/2025, 11:09:11",2025-01-13T17:09:11.149Z
G-TH,53.0,10.7,0,0,0,"1/13/2025, 11:08:41",2025-01-13T17:08:41.136Z
G-TH,53.0,10.7,0,0,0,"1/13/2025, 11:08:11",2025-01-13T17:08:11.117Z
G-TH,54.3,10.5,0,0,0,"1/13/2025, 11:07:41",2025-01-13T17:07:41.107Z
G-TH,54.5,10.4,0,0,0,"1/13/2025, 11:07:11",2025-01-13T17:07:11.091Z
G-TH,53.8,10.6,0,0,2,"1/13/2025, 11:06:41",2025-01-13T17:06:41.077Z
G-TH,53.8,10.5,0,0,0,"1/13/2025, 11:01:11",2025-01-13T17:01:10.984Z
G-TH,54.5,10.6,0,0,0,"1/13/2025, 11:00:41",2025-01-13T17:00:40.965Z
G-TH,54.5,10.4,0,0,0,"1/13/2025, 11:00:11",2025-01-13T17:00:10.951Z
G-TH,53.5,10.6,0,0,0,"1/13/2025, 10:59:41",2025-01-13T16:59:40.943Z
G-TH,52.4,11.0,0,0,0,"1/13/2025, 10:59:11",2025-01-13T16:59:10.934Z
G-TH,53.2,11.3,0,0,0,"1/13/2025, 10:58:41",2025-01-13T16:58:40.956Z
G-TH,52.2,11.1,0,0,0,"1/13/2025, 10:58:11",2025-01-13T16:58:10.952Z
G-TH,51.8,11.2,0,0,0,"1/13/2025, 10:57:41",2025-01-13T16:57:40.936Z
G-TH,54.5,11.1,0,1,1,"1/13/2025, 10:56:41",2025-01-13T16:56:40.915Z
G-TH,53.9,10.5,0,0,0,"1/13/2025, 10:51:11",2025-01-13T16:51:10.834Z
G-TH,53.4,10.3,0,0,0,"1/13/2025, 10:50:41",2025-01-13T16:50:40.836Z
G-TH,53.5,10.5,0,0,1,"1/13/2025, 10:50:11",2025-01-13T16:50:10.835Z
G-TH,55.1,10.5,0,0,1,"1/13/2025, 10:49:41",2025-01-13T16:49:40.867Z
G-TH,55.0,10.3,0,0,2,"1/13/2025, 10:49:11",2025-01-13T16:49:10.802Z
G-TH,54.1,10.3,0,0,0,"1/13/2025, 10:48:41",2025-01-13T16:48:40.785Z
G-TH,53.8,10.4,0,0,1,"1/13/2025, 10:48:11",2025-01-13T16:48:10.764Z
G-TH,53.5,10.3,0,0,1,"1/13/2025, 10:47:41",2025-01-13T16:47:40.758Z
G-TH,53.7,10.3,0,0,0,"1/13/2025, 10:47:11",2025-01-13T16:47:10.736Z
G-TH,53.6,10.1,0,0,0,"1/13/2025, 10:46:41",2025-01-13T16:46:40.746Z
G-TH,53.9,10.3,0,0,0,"1/13/2025, 10:41:10",2025-01-13T16:41:10.633Z
G-TH,53.7,10.3,0,0,0,"1/13/2025, 10:40:41",2025-01-13T16:40:40.629Z
G-TH,53.6,10.3,0,0,0,"1/13/2025, 10:40:11",2025-01-13T16:40:10.584Z
G-TH,54.2,10.3,0,0,0,"1/13/2025, 10:39:41",2025-01-13T16:39:40.573Z
G-TH,53.1,10.2,0,0,0,"1/13/2025, 10:39:10",2025-01-13T16:39:10.565Z
G-TH,52.6,10.6,0,0,0,"1/13/2025, 10:38:41",2025-01-13T16:38:40.567Z
G-TH,53.6,10.6,0,0,0,"1/13/2025, 10:38:11",2025-01-13T16:38:10.578Z
G-TH,53.6,10.5,0,0,0,"1/13/2025, 10:37:40",2025-01-13T16:37:40.548Z
G-TH,52.1,10.5,0,0,0,"1/13/2025, 10:37:10",2025-01-13T16:37:10.544Z
G-TH,51.9,10.9,0,0,0,"1/13/2025, 10:36:40",2025-01-13T16:36:40.534Z
G-TH,52.9,10.6,0,1,1,"1/13/2025, 10:31:10",2025-01-13T16:31:10.434Z
G-TH,53.8,10.6,0,1,2,"1/13/2025, 10:30:41",2025-01-13T16:30:40.428Z
G-TH,54.7,10.2,0,1,1,"1/13/2025, 10:30:10",2025-01-13T16:30:10.423Z
G-TH,54.6,10.0,0,1,1,"1/13/2025, 10:29:40",2025-01-13T16:29:40.419Z
G-TH,53.7,10.2,0,0,1,"1/13/2025, 10:29:10",2025-01-13T16:29:10.426Z
G-TH,53.5,10.1,0,0,0,"1/13/2025, 10:28:40",2025-01-13T16:28:40.407Z
G-TH,54.5,10.0,0,0,0,"1/13/2025, 10:28:11",2025-01-13T16:28:10.401Z
G-TH,54.1,9.8,0,0,0,"1/13/2025, 10:27:40",2025-01-13T16:27:40.392Z
G-TH,54.1,9.6,0,0,0,"1/13/2025, 10:27:10",2025-01-13T16:27:10.415Z
G-TH,53.6,9.7,0,1,1,"1/13/2025, 10:26:40",2025-01-13T16:26:40.376Z
G-TH,54.3,10.0,0,0,0,"1/13/2025, 10:21:10",2025-01-13T16:21:10.251Z
G-TH,55.1,9.8,0,0,0,"1/13/2025, 10:20:40",2025-01-13T16:20:40.267Z
G-TH,54.7,9.6,0,0,0,"1/13/2025, 10:20:10",2025-01-13T16:20:10.230Z
G-TH,53.7,9.9,0,0,0,"1/13/2025, 10:19:40",2025-01-13T16:19:40.208Z
G-TH,54.0,10.0,0,1,1,"1/13/2025, 10:19:10",2025-01-13T16:19:10.197Z
G-TH,54.1,10.0,0,1,1,"1/13/2025, 10:18:40",2025-01-13T16:18:40.186Z
G-TH,54.1,10.0,0,1,1,"1/13/2025, 10:18:10",2025-01-13T16:18:10.217Z
G-TH,54.2,10.0,0,0,1,"1/13/2025, 10:17:40",2025-01-13T16:17:40.156Z
G-TH,55.3,10.2,0,0,0,"1/13/2025, 10:17:10",2025-01-13T16:17:10.159Z
G-TH,55.3,10.0,0,0,0,"1/13/2025, 10:16:40",2025-01-13T16:16:40.149Z
G-TH,56.0,10.0,0,1,1,"1/13/2025, 10:11:10",2025-01-13T16:11:10.114Z
G-TH,55.5,9.9,0,0,1,"1/13/2025, 10:10:40",2025-01-13T16:10:40.091Z
G-TH,55.3,9.8,0,0,1,"1/13/2025, 10:10:10",2025-01-13T16:10:10.133Z
G-TH,54.9,9.9,0,0,1,"1/13/2025, 10:09:40",2025-01-13T16:09:40.124Z
G-TH,54.3,9.9,0,0,1,"1/13/2025, 10:09:10",2025-01-13T16:09:10.086Z
G-TH,55.4,10.0,0,0,1,"1/13/2025, 10:08:40",2025-01-13T16:08:40.135Z
G-TH,55.4,10.0,0,0,1,"1/13/2025, 10:08:10",2025-01-13T16:08:10.134Z
G-TH,54.9,9.9,0,0,0,"1/13/2025, 10:07:40",2025-01-13T16:07:40.089Z
G-TH,54.7,10.0,0,1,1,"1/13/2025, 10:07:10",2025-01-13T16:07:10.129Z
G-TH,56.1,10.1,0,1,2,"1/13/2025, 10:06:40",2025-01-13T16:06:40.101Z
G-TH,57.0,8.9,0,0,1,"1/13/2025, 10:00:40",2025-01-13T16:00:40.084Z
G-TH,57.2,8.9,0,0,1,"1/13/2025, 10:00:10",2025-01-13T16:00:10.081Z
G-TH,57.4,8.9,0,0,2,"1/13/2025, 09:59:40",2025-01-13T15:59:40.084Z
G-TH,57.5,8.8,0,0,1,"1/13/2025, 09:59:10",2025-01-13T15:59:10.084Z
G-TH,57.9,8.7,0,0,1,"1/13/2025, 09:58:40",2025-01-13T15:58:40.086Z
G-TH,58.0,8.6,0,0,0,"1/13/2025, 09:58:10",2025-01-13T15:58:10.074Z
G-TH,57.6,8.5,0,1,1,"1/13/2025, 09:57:40",2025-01-13T15:57:40.090Z
G-TH,57.7,8.5,0,1,1,"1/13/2025, 09:57:10",2025-01-13T15:57:10.113Z
G-TH,57.9,8.5,0,1,1,"1/13/2025, 09:56:40",2025-01-13T15:56:40.088Z
G-TH,0.0,0.0,0,1,1,"1/13/2025, 09:56:10",2025-01-13T15:56:10.131Z
G-TH,59.8,7.7,0,1,1,"1/13/2025, 09:50:40",2025-01-13T15:50:40.071Z
G-TH,59.6,7.7,0,0,0,"1/13/2025, 09:50:10",2025-01-13T15:50:10.074Z
G-TH,59.6,7.7,0,1,1,"1/13/2025, 09:49:40",2025-01-13T15:49:40.079Z
G-TH,59.7,7.6,0,1,1,"1/13/2025, 09:49:10",2025-01-13T15:49:10.079Z
G-TH,59.2,7.5,0,1,1,"1/13/2025, 09:48:41",2025-01-13T15:48:40.071Z
G-TH,58.9,7.5,0,1,1,"1/13/2025, 09:48:10",2025-01-13T15:48:10.080Z
G-TH,59.3,7.7,0,0,2,"1/13/2025, 09:47:40",2025-01-13T15:47:40.074Z
G-TH,59.8,7.7,0,0,0,"1/13/2025, 09:47:10",2025-01-13T15:47:10.126Z
G-TH,59.9,7.6,0,0,0,"1/13/2025, 09:46:40",2025-01-13T15:46:40.100Z
G-TH,60.0,7.5,0,1,1,"1/13/2025, 09:46:10",2025-01-13T15:46:10.099Z
G-TH,57.7,8.0,0,0,0,"1/13/2025, 09:40:40",2025-01-13T15:40:40.060Z
G-TH,57.0,8.0,0,0,0,"1/13/2025, 09:40:10",2025-01-13T15:40:10.068Z
G-TH,57.4,8.2,0,0,0,"1/13/2025, 09:39:40",2025-01-13T15:39:40.066Z
G-TH,57.4,8.2,0,1,1,"1/13/2025, 09:39:10",2025-01-13T15:39:10.060Z
G-TH,57.2,8.1,0,0,0,"1/13/2025, 09:38:40",2025-01-13T15:38:40.066Z
G-TH,57.7,8.2,0,0,0,"1/13/2025, 09:38:10",2025-01-13T15:38:10.060Z
G-TH,57.2,8.2,0,0,0,"1/13/2025, 09:37:40",2025-01-13T15:37:40.059Z
G-TH,57.7,8.4,0,0,0,"1/13/2025, 09:37:10",2025-01-13T15:37:10.065Z
G-TH,57.6,8.4,0,1,1,"1/13/2025, 09:36:40",2025-01-13T15:36:40.059Z
G-TH,57.3,8.3,0,2,2,"1/13/2025, 09:36:10",2025-01-13T15:36:10.060Z
G-TH,59.2,7.7,0,1,1,"1/13/2025, 09:30:40",2025-01-13T15:30:40.049Z
G-TH,59.8,7.7,0,1,1,"1/13/2025, 09:30:10",2025-01-13T15:30:10.053Z
G-TH,60.5,7.7,0,1,1,"1/13/2025, 09:29:40",2025-01-13T15:29:40.056Z
G-TH,60.6,7.6,0,1,1,"1/13/2025, 09:29:10",2025-01-13T15:29:10.051Z
G-TH,60.9,7.5,0,2,2,"1/13/2025, 09:28:40",2025-01-13T15:28:40.043Z
G-TH,61.5,7.4,0,1,2,"1/13/2025, 09:28:10",2025-01-13T15:28:10.054Z
G-TH,62.0,7.3,0,1,1,"1/13/2025, 09:27:40",2025-01-13T15:27:40.066Z
G-TH,62.6,7.2,0,0,0,"1/13/2025, 09:27:10",2025-01-13T15:27:10.047Z
G-TH,62.8,7.0,0,0,0,"1/13/2025, 09:26:40",2025-01-13T15:26:40.045Z
G-TH,80.6,9.4,0,6,7,"1/12/2025, 21:54:30",2025-01-13T03:54:29.805Z
G-TH,79.8,9.6,0,1,1,"1/12/2025, 21:34:28",2025-01-13T03:34:28.201Z
G-TH,78.3,10.0,0,1,2,"1/12/2025, 21:18:38",2025-01-13T03:18:38.544Z
G-TH,78.3,10.0,0,1,1,"1/12/2025, 21:18:09",2025-01-13T03:18:08.574Z
G-TH,78.3,10.0,0,1,2,"1/12/2025, 21:17:39",2025-01-13T03:17:38.519Z
G-TH,78.3,10.0,0,1,2,"1/12/2025, 21:17:08",2025-01-13T03:17:08.507Z
G-TH,78.2,10.0,0,1,2,"1/12/2025, 21:16:38",2025-01-13T03:16:38.484Z
G-TH,78.2,10.0,0,1,2,"1/12/2025, 21:16:09",2025-01-13T03:16:08.468Z
G-TH,78.2,10.0,0,0,1,"1/12/2025, 21:15:38",2025-01-13T03:15:38.457Z
G-TH,78.2,10.0,0,0,0,"1/12/2025, 21:15:08",2025-01-13T03:15:08.474Z
G-TH,78.1,10.0,0,0,0,"1/12/2025, 21:14:38",2025-01-13T03:14:38.438Z
G-TH,78.1,10.0,0,1,1,"1/12/2025, 21:14:09",2025-01-13T03:14:08.442Z
G-TH,77.8,10.1,0,1,1,"1/12/2025, 21:08:38",2025-01-13T03:08:38.439Z
G-TH,77.9,10.1,0,0,1,"1/12/2025, 21:08:08",2025-01-13T03:08:08.441Z
G-TH,77.9,10.1,0,0,1,"1/12/2025, 21:07:39",2025-01-13T03:07:38.438Z
G-TH,77.9,10.1,0,0,1,"1/12/2025, 21:07:08",2025-01-13T03:07:08.437Z
G-TH,77.9,10.1,0,0,0,"1/12/2025, 21:06:38",2025-01-13T03:06:38.433Z
G-TH,77.9,10.1,0,0,1,"1/12/2025, 21:06:09",2025-01-13T03:06:08.442Z
G-TH,78.0,10.1,0,0,1,"1/12/2025, 21:05:38",2025-01-13T03:05:38.440Z
G-TH,77.9,10.1,0,0,1,"1/12/2025, 21:05:08",2025-01-13T03:05:08.442Z
G-TH,78.0,10.1,0,0,1,"1/12/2025, 21:04:38",2025-01-13T03:04:38.459Z
G-TH,77.9,10.1,0,2,2,"1/12/2025, 21:04:08",2025-01-13T03:04:08.436Z
G-TH,78.1,10.2,0,0,0,"1/12/2025, 20:58:38",2025-01-13T02:58:38.431Z
G-TH,78.1,10.2,0,0,0,"1/12/2025, 20:58:08",2025-01-13T02:58:08.449Z
G-TH,78.2,10.1,0,0,0,"1/12/2025, 20:57:39",2025-01-13T02:57:38.432Z
G-TH,78.2,10.1,0,1,1,"1/12/2025, 20:57:09",2025-01-13T02:57:08.446Z
G-TH,78.3,10.1,0,1,1,"1/12/2025, 20:56:38",2025-01-13T02:56:38.469Z
G-TH,78.3,10.1,0,0,1,"1/12/2025, 20:56:08",2025-01-13T02:56:08.436Z
G-TH,78.3,10.1,0,0,1,"1/12/2025, 20:55:39",2025-01-13T02:55:38.432Z
G-TH,78.4,10.0,0,0,1,"1/12/2025, 20:55:08",2025-01-13T02:55:08.456Z
G-TH,78.4,10.0,0,0,1,"1/12/2025, 20:54:39",2025-01-13T02:54:38.434Z
G-TH,78.3,9.9,0,0,0,"1/12/2025, 20:54:08",2025-01-13T02:54:08.478Z
G-TH,78.3,10.0,0,1,1,"1/12/2025, 20:48:38",2025-01-13T02:48:38.420Z
G-TH,78.3,10.0,0,1,1,"1/12/2025, 20:48:08",2025-01-13T02:48:08.436Z
G-TH,78.3,10.0,0,0,0,"1/12/2025, 20:47:38",2025-01-13T02:47:38.423Z
G-TH,78.3,9.9,0,1,1,"1/12/2025, 20:47:09",2025-01-13T02:47:08.421Z
G-TH,78.3,9.9,0,1,2,"1/12/2025, 20:46:38",2025-01-13T02:46:38.420Z
G-TH,78.2,9.9,0,1,2,"1/12/2025, 20:46:08",2025-01-13T02:46:08.423Z
G-TH,78.2,9.8,0,1,2,"1/12/2025, 20:45:38",2025-01-13T02:45:38.415Z
G-TH,78.1,9.8,0,1,2,"1/12/2025, 20:45:09",2025-01-13T02:45:08.418Z
G-TH,78.0,9.8,0,0,0,"1/12/2025, 20:44:38",2025-01-13T02:44:38.458Z
G-TH,77.9,9.8,0,1,1,"1/12/2025, 20:44:08",2025-01-13T02:44:08.420Z
G-TH,77.4,9.9,0,1,2,"1/12/2025, 20:38:39",2025-01-13T02:38:38.409Z
G-TH,77.3,9.9,0,1,1,"1/12/2025, 20:38:08",2025-01-13T02:38:08.410Z
G-TH,77.3,9.8,0,1,2,"1/12/2025, 20:37:38",2025-01-13T02:37:38.412Z
G-TH,77.3,9.8,0,1,2,"1/12/2025, 20:37:09",2025-01-13T02:37:08.448Z
G-TH,77.3,9.8,0,1,3,"1/12/2025, 20:36:38",2025-01-13T02:36:38.411Z
G-TH,77.3,9.8,0,0,2,"1/12/2025, 20:36:09",2025-01-13T02:36:08.417Z
G-TH,77.3,9.8,0,0,2,"1/12/2025, 20:35:38",2025-01-13T02:35:38.439Z
G-TH,77.3,9.8,0,1,2,"1/12/2025, 20:35:08",2025-01-13T02:35:08.456Z
G-TH,77.3,9.8,0,1,2,"1/12/2025, 20:34:39",2025-01-13T02:34:38.428Z
G-TH,77.3,9.7,0,2,6,"1/12/2025, 20:34:08",2025-01-13T02:34:08.408Z
H-TH,48.4,12.5,0,2,2,"1/13/2025, 11:21:20",2025-01-13T01:47:54.634Z
H-TH,48.6,12.6,0,2,2,"1/13/2025, 11:20:40",2025-01-13T01:47:14.717Z
G-TH,72.6,10.2,0,1,2,"1/12/2025, 19:47:11",2025-01-13T01:47:11.657Z
G-TH,72.7,10.3,0,2,2,"1/12/2025, 19:46:42",2025-01-13T01:46:41.593Z
G-TH,73.0,10.2,0,2,2,"1/12/2025, 19:46:12",2025-01-13T01:46:11.634Z
G-TH,73.4,10.2,0,2,2,"1/12/2025, 19:45:41",2025-01-13T01:45:41.571Z
H-TH,79.8,10.2,0,0,1,"1/12/2025, 19:45:29",2025-01-13T01:45:29.576Z
G-TH,73.5,10.2,0,1,1,"1/12/2025, 19:45:11",2025-01-13T01:45:11.559Z
H-TH,79.7,10.2,0,0,1,"1/12/2025, 19:44:49",2025-01-13T01:44:49.527Z
G-TH,73.8,10.2,0,1,1,"1/12/2025, 19:44:41",2025-01-13T01:44:41.556Z
G-TH,74.0,10.2,0,2,2,"1/12/2025, 19:44:11",2025-01-13T01:44:11.545Z
H-TH,79.6,10.1,0,1,2,"1/12/2025, 19:44:09",2025-01-13T01:44:09.539Z
G-TH,0.0,0.0,0,1,1,"1/12/2025, 19:43:41",2025-01-13T01:43:41.546Z
H-TH,79.5,10.1,0,1,1,"1/12/2025, 19:43:29",2025-01-13T01:43:29.516Z
H-TH,79.4,10.1,0,1,1,"1/12/2025, 19:42:49",2025-01-13T01:42:49.514Z
G-TH,76.4,10.4,0,2,3,"1/12/2025, 19:38:11",2025-01-13T01:38:11.467Z
G-TH,76.5,10.4,0,1,1,"1/12/2025, 19:37:41",2025-01-13T01:37:41.425Z
G-TH,76.7,10.4,0,1,1,"1/12/2025, 19:37:11",2025-01-13T01:37:11.459Z
G-TH,76.8,10.4,0,1,1,"1/12/2025, 19:36:41",2025-01-13T01:36:41.445Z
G-TH,76.8,10.4,0,2,2,"1/12/2025, 19:36:11",2025-01-13T01:36:11.420Z
G-TH,76.9,10.4,0,1,2,"1/12/2025, 19:35:41",2025-01-13T01:35:41.435Z
G-TH,76.9,10.4,0,2,2,"1/12/2025, 19:35:11",2025-01-13T01:35:11.406Z
G-TH,77.1,10.4,0,2,2,"1/12/2025, 19:34:41",2025-01-13T01:34:41.400Z
G-TH,77.1,10.4,0,1,1,"1/12/2025, 19:34:11",2025-01-13T01:34:11.371Z
G-TH,77.2,10.4,0,1,1,"1/12/2025, 19:33:41",2025-01-13T01:33:41.362Z
H-TH,77.6,10.5,0,3,3,"1/12/2025, 19:32:09",2025-01-13T01:32:09.433Z
H-TH,77.6,10.4,0,3,3,"1/12/2025, 19:31:29",2025-01-13T01:31:29.442Z
H-TH,77.5,10.4,0,3,4,"1/12/2025, 19:30:49",2025-01-13T01:30:49.413Z
H-TH,77.3,10.3,0,4,6,"1/12/2025, 19:30:09",2025-01-13T01:30:09.416Z
H-TH,77.1,10.3,0,4,4,"1/12/2025, 19:29:29",2025-01-13T01:29:29.409Z
H-TH,77.0,10.3,0,2,2,"1/12/2025, 19:28:49",2025-01-13T01:28:49.404Z
